WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
T0609993666-MW-11,270,FE,1/31/2006,UG/L,=,100,37.4656711,-121.1245072,MONITORING,,,,EDF,MW-11,MW-11
SL205373008-M-2,64000,FE,3/24/2006,UG/L,=,0.1,37.9337233,-121.4367281,MONITORING,,3,15,EDF,M-2,M-2
SL205373008-M-2,32000000,FE,3/19/2007,UG/L,=,100,37.9337233,-121.4367281,MONITORING,,3,15,EDF,M-2,M-2
L10007396297-MW-6A1,0,FE,8/27/2018,UG/L,ND,50,38.5063457,-121.1825904,MONITORING,,117,15,EDF,MW-6A1,MW-6A1
L10007396297-MW-6A,0,FE,6/4/2018,UG/L,ND,50,38.5063318,-121.1825476,MONITORING,,60,30,EDF,MW-6A,MW-6A
L10007396297-MW-6A,0,FE,9/24/2018,UG/L,ND,50,38.5063318,-121.1825476,MONITORING,,60,30,EDF,MW-6A,MW-6A
L10008827999-ASW-1,450,FE,5/6/2008,UG/L,=,50,37.8770759,-121.1729086,MONITORING,,,,EDF,ASW-1,ASW-1
T0609900349-MW-10,0,FE,11/15/2010,UG/L,ND,0.1,37.5011632,-120.853775,MONITORING,,31,10,EDF,MW-10,MW-10
T0607700888-MW-1,120000,FE,6/8/2004,UG/L,=,300,37.9543877,-121.2709658,MONITORING,,,,EDF,MW-1,MW-1
SL0607731692-S POND,7700,FE,1/15/2015,UG/L,=,0.03,37.8047866,-121.2719411,MONITORING,,,,EDF,S POND,S POND
SL0607731692-S POND,23400,FE,1/16/2014,UG/L,=,0.05,37.8047866,-121.2719411,MONITORING,,,,EDF,S POND,S POND
T0607700888-MW-6,1800,FE,2/12/2003,UG/L,=,0.1,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
T0607700888-MW-6,6200,FE,12/9/2004,UG/L,=,300,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
T0607700888-MW-6,9500,FE,3/4/2004,UG/L,=,300,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
T0607700888-MW-6,10000,FE,9/9/2003,UG/L,=,300,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
T0607700888-MW-6,26000,FE,12/10/2003,UG/L,=,300,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
T0607700888-MW-6,90000,FE,12/8/2005,UG/L,=,100,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
SL205122996-MW-24,0,FE,3/28/2012,UG/L,ND,50,37.9464061,-121.2892542,MONITORING,,193,10,EDF,MW-24,MW-24
T10000004224-MW-2,0,FE,1/17/2013,UG/L,ND,50,37.4019972,-120.7368398,MONITORING,,,,EDF,MW-2,MW-2
T10000004224-MW-2,0,FE,7/12/2018,UG/L,ND,50,37.4019972,-120.7368398,MONITORING,,,,EDF,MW-2,MW-2
T10000004224-MW-2,0,FE,4/11/2014,UG/L,ND,50,37.4019972,-120.7368398,MONITORING,,,,EDF,MW-2,MW-2
T10000004224-MW-2,0,FE,1/4/2017,UG/L,ND,50,37.4019972,-120.7368398,MONITORING,,,,EDF,MW-2,MW-2
