WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
L10007396297-MW-6B,180,TDS,4/18/2018,MG/L,=,10,38.5063483,-121.1826326,MONITORING,,163,10,EDF,MW-6B,MW-6B
T0607700906-MW-3,750,TDS,8/29/2011,MG/L,=,10000,38.021074,-121.3570544,MONITORING,,,,EDF,MW-3,MW-3
SL205763037-MW-10,1390,TDS,8/30/2018,MG/L,=,20,37.9305559,-121.3161585,MONITORING,,10,15,EDF,MW-10,MW-10
SL186142972-MW-10B,1040,TDS,5/11/2006,MG/L,=,10,37.8756702,-121.2755657,MONITORING,80,,,EDF,MW-10B,MW-10B
SL186142972-MW-10B,873,TDS,11/8/2006,MG/L,=,1,37.8756702,-121.2755657,MONITORING,80,,,EDF,MW-10B,MW-10B
SL186142972-MW-10B,830,TDS,2/12/2007,MG/L,=,1,37.8756702,-121.2755657,MONITORING,80,,,EDF,MW-10B,MW-10B
SL186142972-MW-10B,1300,TDS,6/21/2005,MG/L,=,10,37.8756702,-121.2755657,MONITORING,80,,,EDF,MW-10B,MW-10B
SL185422914-MW-2,1380,TDS,9/9/2010,MG/L,=,11,37.7128737,-121.3783951,MONITORING,23,13,10,EDF,MW-2,MW-2
T10000008592-MW-2,510,TDS,3/7/2016,MG/L,=,33,37.3392042,-120.6037816,MONITORING,,69.5,20,EDF,MW-2,MW-2
L10008827999-AMW-3,800,TDS,5/12/2005,MG/L,=,50,37.8795961,-121.1914976,MONITORING,,55,20,EDF,AMW-3,AMW-3
SL205324280-DW-19,7070,TDS,10/23/2018,MG/L,=,5,36.9126197,-120.5502253,MONITORING,,30,20,EDF,DW-19,DW-19
SL205324280-DW-19,7080,TDS,8/15/2018,MG/L,=,5,36.9126197,-120.5502253,MONITORING,,30,20,EDF,DW-19,DW-19
SL205324280-DW-19,7460,TDS,11/27/2018,MG/L,=,10,36.9126197,-120.5502253,MONITORING,,30,20,EDF,DW-19,DW-19
T0609900001-MW-3,1300,TDS,12/20/2004,MG/L,=,5,37.6364187,-121.0009853,MONITORING,,,,EDF,MW-3,MW-3
L10007396297-MW-42A,190,TDS,4/23/2018,MG/L,=,10,38.5017127,-121.207565,MONITORING,,170,20,EDF,MW-42A,MW-42A
L10007396297-MW-42A,220,TDS,4/19/2017,MG/L,=,20,38.5017127,-121.207565,MONITORING,,170,20,EDF,MW-42A,MW-42A
L10008252269-MW-7A,380,TDS,2/17/2009,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,450,TDS,11/16/2005,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,520,TDS,3/25/2013,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,530,TDS,5/13/2005,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,540,TDS,5/21/2007,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,570,TDS,8/19/2009,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,580,TDS,11/20/2007,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,600,TDS,5/24/2006,MG/L,=,33,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
L10008252269-MW-7A,1400,TDS,2/24/2017,MG/L,=,100,37.91705355,-121.3024682,MONITORING,,45.8,20,EDF,MW-7A,MW-7A
SL185742938-M-113,310,TDS,7/24/2018,MG/L,=,10,37.64365372,-121.0108367,MONITORING,80,55,20,EDF,M-113,M-113
L10007396297-MW-22B,200,TDS,9/11/2017,MG/L,=,10,38.5064018,-121.1871552,MONITORING,,196,20,EDF,MW-22B,MW-22B
L10007396297-MW-22B,160,TDS,10/5/2018,MG/L,=,10,38.5064018,-121.1871552,MONITORING,,196,20,EDF,MW-22B,MW-22B
L10001877851-B,260,TDS,10/28/2015,MG/L,=,20,37.9226695,-121.0893296,MONITORING,,207.21,10,EDF,B,B
L10001877851-B,290,TDS,10/19/2011,MG/L,=,10,37.9226695,-121.0893296,MONITORING,,207.21,10,EDF,B,B
T0607700906-MW-2,850,TDS,6/20/2011,MG/L,=,10000,38.0208164,-121.3569451,MONITORING,,,,EDF,MW-2,MW-2
T0607700134-MW-5,740,TDS,9/13/2007,MG/L,=,10000,38.020546,-121.3334702,MONITORING,,,,EDF,MW-5,MW-5
L10008365060-MW-14,59,TDS,11/4/2013,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,99,TDS,5/15/2012,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,50,TDS,5/14/2015,MG/L,=,2.5,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,48,TDS,11/9/2011,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,72,TDS,5/23/2018,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,78,TDS,10/11/2005,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,100,TDS,5/6/2009,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,110,TDS,11/16/2010,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
L10008365060-MW-14,110,TDS,5/25/2010,MG/L,=,6.7,38.30526914,-120.9092742,MONITORING,,65,15,EDF,MW-14,MW-14
SLT5S0033055-PW25-120,503,TDS,9/2/2015,MG/L,=,10,37.8,-121.26,MONITORING,,,,EDF,PW25-120,PW25-120
SL205763037-MW-16,315,TDS,9/11/2014,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
SL205763037-MW-16,347,TDS,9/28/2010,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
SL205763037-MW-16,350,TDS,9/10/2015,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
SL205763037-MW-16,355,TDS,3/26/2009,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
SL205763037-MW-16,357,TDS,3/25/2008,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
