WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
2400176-001,2.4,CR6,11/6/2014,UG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,145,15,DHS,2400176-001,WELL 1-E. OF CHURCH/SCHOOL BUILDING
5010010-018,5.2,CR6,9/18/2014,UG/L,,UNK,37.6689128,-121.008384,MUNICIPAL,,101,173,DHS,5010010-018,WELL 016
3910007-003,4.46,CR6,4/10/2002,UG/L,,UNK,37.7268594,-121.127232,MUNICIPAL,,156,80,DHS,3910007-003,WELL NO. 03
2010004-003,1.1,CR6,8/13/2003,UG/L,,UNK,36.9445803,-120.0576,MUNICIPAL,,240,216,DHS,2010004-003,WELL 03
5010010-192,0,CR6,2/7/2001,UG/L,<,UNK,37.6399395,-120.968768,MUNICIPAL,,0,158,DHS,5010010-192,WELL 225 - BUDGET PACK
5000049-002,0,CR6,9/29/2014,UG/L,<,UNK,37.784806,-120.810304,MUNICIPAL,,50,10,DHS,5000049-002,SOUTH WELL
5000090-002,2.28,CR6,3/20/2013,UG/L,,UNK,37.6399395,-120.84992,MUNICIPAL,,50,20,DHS,5000090-002,SOUTH WELL
2000909-001,1.7,CR6,11/3/2005,UG/L,,UNK,36.8866337,-120.017984,MUNICIPAL,,0,0,DHS,2000909-001,SOURCE MAIN WELL
3910007-012,4.94,CR6,12/4/2002,UG/L,,UNK,37.7268594,-121.127232,MUNICIPAL,,125,30,DHS,3910007-012,WELL 11 - RAW - INACTIVE
5010028-016,0.95,CR6,11/4/2014,UG/L,,UNK,37.6109662,-120.929152,MUNICIPAL,,120,80,DHS,5010028-016,WELL 16 - RAW
2210906-005,0.4,CR6,12/11/2014,UG/L,<,UNK,37.5819929,-119.85952,MUNICIPAL,,0,10,DHS,2210906-005,WELL 03
5510028-003,0,CR6,8/13/2014,UG/L,<,UNK,38.0165924,-120.334912,MUNICIPAL,,,,DHS,5510028-003,APPLE VALLEY WELL 03
2410005-013,24,CR6,5/2/2001,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,45,DHS,2410005-013,WELL 13 - RAW
2410005-013,34,CR6,1/29/2014,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,45,DHS,2410005-013,WELL 13 - RAW
2410005-013,37,CR6,4/2/2014,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,45,DHS,2410005-013,WELL 13 - RAW
2410005-013,37,CR6,12/12/2018,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,45,DHS,2410005-013,WELL 13 - RAW
2410005-013,41,CR6,6/28/2017,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,45,DHS,2410005-013,WELL 13 - RAW
2410005-013,42,CR6,7/12/2017,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,45,DHS,2410005-013,WELL 13 - RAW
2410005-003,30,CR6,3/8/2017,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,79,DHS,2410005-003,WELL 03
2410005-003,27.4,CR6,3/18/1998,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,79,DHS,2410005-003,WELL 03
2410005-003,24,CR6,5/14/2003,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,79,DHS,2410005-003,WELL 03
2410005-003,26,CR6,7/7/2010,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,79,DHS,2410005-003,WELL 03
2210904-001,0,CR6,6/21/2001,UG/L,<,UNK,37.6978861,-120.295296,MUNICIPAL,,0,10,DHS,2210904-001,WELL 02 - DRIVEWAY
2410005-006,25,CR6,12/9/2015,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,40,DHS,2410005-006,WELL 06
2410005-006,26,CR6,6/6/2018,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,40,DHS,2410005-006,WELL 06
2410005-006,28,CR6,6/7/2017,UG/L,,UNK,37.0604735,-120.84992,MUNICIPAL,,0,40,DHS,2410005-006,WELL 06
